programmes,desc,target,link,org
Appropriate Adult Service (MINDS),"The Appropriate Adult (AA) Service provides support to Singapore Police Force (SPF), Central Narcotics Bureau (CNB) and Agri-Food and Veterinary Authority of Singapore (AVA) during the investigating interviews involving detainees, victims or witnesses suspected of having Intellectual Disability, Autism Spectrum Disorder (ASD) and/or Mental Health issues.",Persons with Intellectual disabilities or ASD,http://www.minds.org.sg/,Woodlands Gardens School
Appropriate Adults Scheme,Appropriate Adults provide assistance to People with Intellectual Disabilities in communicating more effectively to avoid misunderstandings during a Police investigation.,Persons with mental or intellectual disabilities under police investigation,http://probono.lawsociety.org.sg/,Appropriate Adults Scheme
APSN Centre For Adults,The Centre for Adults has been devoted to training former Association For Persons With Special Needs (APSN) students and helping them fi nd jobs in the open market since 1980,"Persons with mild intellectual disability, 17 years old and above",http://www.apsn.org.sg/,APSN Centre For Adults
APSN Chaoyang School,"Association For Persons With Special Needs (APSN) Chaoyang School caters to children between 7 and 12 years old, with mild intellectual disability (MID), i.e. IQ range 50-70 with concurrent significant limitations in adaptive behaviour as expressed in conceptual, social and practical adaptive skills",Children between 7 to 12 years old with mild intellectual disability (IQ: 50 -70) and children with mild autism who functions within the mild intellectual disability range.,http://www.apsn.org.sg/,APSN Chaoyang School
APSN Delta Senior School,Association For Persons With Special Needs (APSN) Delta Senior School offers Vocational Training & WSQ Certification Programmes,,http://www.apsn.org.sg/,APSN Katong School
APSN Katong School,Association For Persons With Special Needs (APSN) Katong school offers a wide range of programmes from English literacy courses to physical education,Children between 7 to 16 years old with mild intellectual disability (IQ: 50 -70) and children with mild autism who functions within the mild intellectual disability range.,http://www.apsn.org.sg/,APSN Delta Senior School
APSN Student Care Centre,"At  Student Care Centre, Association For Persons With Special Needs (APSN) provide their professional services in care-taking special needs students",Students between the age of 7 and 18 years old ,http://www.apsn.org.sg/,APSN Student Care Centre
APSN Tanglin School,"Association For Persons With Special Needs (APSN) Tanglin school offers a wide range of curriculums ranging from areas of personal, social to outdoor education",Children between 13-16 years old with mild intellectual disability (IQ: 50 -70) and children with mild autism who functions within the MID ID range.,http://www.apsn.org.sg/,APSN Tanglin School
Arc Activities for parents,"Arc Children's Centre activities for parents aim to provide moral support to the parents as their child undergoes treatment. Working closely with the children’s healthcare team, Arc strives to be part of the circle of care for every child in need.",Parents of children with cancer or other chronic illnesses,https://www.arcchildren.org/,Arc Children's Centre
Arc Activities for Siblings,Arc Children's Centre activities for siblings aim to strengthen the bond between siblings through learning about the sick child?s condition and coping with the trauma.,Siblings of children with cancer or other life-threatening illnesses,https://www.arcchildren.org/,Arc Activities for Siblings
ARC AITC,"Autism Intervention, Training & Consultancy Division (AITC) provides specialist services in autism intervention, autism training and autism consultancy. It is a recognised leader in its field in Singapore and the region. [By Autism Resource Centre (ARC) Singapore]",Social Service Professionals,http://www.pathlight.org.sg/,Autism Resource Centre (Singapore)
Arc Childcare Activities,"Arc Children's Centre childcare activities are tailored to recognize, develop and maximize the potential of each child devoted to engaging the children with fun and meaningful programs that foster friendships and boost confidence",Children with cancer or other life-threatening illnesses,https://www.arcchildren.org/,Arc Childcare Activities
ARC Resource Library,"ARC(S)'s Resource Library, sponsored by the Estate of the late Mr Khoo Teck Puat, stocks an extensive collection of autism-related books and multi-media materials for parents, caregivers, professionals and members of the public who wish to learn more about autism spectrum disorder and related disorders. [By Autism Resource Centre (ARC) Singapore]",Members of the public who wish to learn more about autism spectrum disorder and related disorders.,http://www.pathlight.org.sg/,Autism Resource Centre (Singapore)
ARC Therapy Unit,"Autism Therapy Unit provides therapy services to help primary, secondary students and young adults with autism cope with issues in their lives. The therapy aims to improve their social interaction, communication skills and to improve their flexibility. [By Autism Resource Centre (ARC) Singapore]","Primary, secondary students and young adults with autism",http://www.pathlight.org.sg/,Autism Resource Centre (Singapore)
ARC WeCAN EIP,"Autism Resource Centre (ARC) WeCAN EIP provides autism specific intervention for young children with the diagnosis of autism, in order to help them gain functional and independent skills for more successful transition","Children from 18 months to 6 years old, with mild to severe autism.",http://www.wecaneip.com/,Autism Resource Centre (Singapore)
ARC(S) Employability and Employment Centre,Autism Resource Centre (ARC) Employability and Employment Centre (E2C) is the first autism-focused centre that offers services to enable people with autism to perform successfully in the workplace. It also offers services for employers who are interested in hiring people with autism in their companies,Graduates from mainstream or SPED schools who need help to find a job. Most are staying at home due to:,http://www.autism.org.sg/,Autism Resource Centre (Singapore)
ARK Student Care Centre,Ark Student Care Centre has been serving children of different background for the past 13 years in Bukit Batok. Our motto is to look at every child as an individual and treat each child with respect and appropriate attention. [Service by Promisedland Community Services],Children,https://arkstudent.cc/,ARK Student Care Centre
Art & Drama Therapy,"Provide a range of preventive, developmental, and remedial services to children and youth in the community (mainstream and at-risk) to protect and nurture them. Prevent children and youth from being harmed or becoming at risk of delinquency, abuse and/or neglect.",Please contact the organisation directly for more details.,http://www.milk.org.sg/,Art & Drama Therapy
Arts@Metta,"Initiated by the Metta Welfare Association in 2007, Arts@Metta aims to equip special needs youths with life skills that promote integration, independence and employment.",Children with mild intellectual disability and mild autism,https://www.metta.org.sg/,Metta Building
